epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,785.677,0.27807,0.20553,0.80213,0.27684,0.01316,0.00335,0.00037,3.0898,6.24106,3.35994,0.000247625,0.000247625,0.000247625
83,794.6,0.26944,0.19762,0.79709,0.01342,0.02632,0.00302,0.00063,2.9789,6.20989,3.21286,0.00023525,0.00023525,0.00023525
84,803.609,0.26489,0.19573,0.79157,0.02088,0.02632,0.00387,0.00067,2.93374,6.10759,3.21816,0.000222875,0.000222875,0.000222875
85,811.958,0.27293,0.19911,0.79865,0.2691,0.02632,0.00413,0.00084,2.9221,6.06771,3.26783,0.0002105,0.0002105,0.0002105
86,820.688,0.2531,0.19131,0.78778,0.26804,0.02632,0.00458,0.00087,2.92457,6.05068,3.30807,0.000198125,0.000198125,0.000198125
87,829.462,0.25469,0.18876,0.79078,0.012,0.02632,0.00556,0.00079,3.00097,6.13541,3.2915,0.00018575,0.00018575,0.00018575
88,838.395,0.25113,0.18358,0.79477,0.00903,0.02632,0.00631,0.00151,3.05724,6.17493,3.3227,0.000173375,0.000173375,0.000173375
89,847.03,0.25001,0.18386,0.79399,0.00897,0.07763,0.00621,0.00122,3.09126,6.15446,3.37802,0.000161,0.000161,0.000161
90,856.36,0.25034,0.18874,0.79651,0.01077,0.07763,0.00715,0.0019,3.0869,6.09983,3.40638,0.000148625,0.000148625,0.000148625
91,894.947,0.21715,0.16439,0.7752,0.00341,0.03947,0.00417,0.00102,3.05729,6.25229,3.39048,0.00013625,0.00013625,0.00013625
92,903.31,0.21811,0.1627,0.77553,0.00553,0.01316,0.00157,0.00025,3.12526,6.36807,3.45927,0.000123875,0.000123875,0.000123875
93,911.606,0.21766,0.16456,0.782,0.00688,0.01316,0.00144,0.00023,3.20434,6.40457,3.53234,0.0001115,0.0001115,0.0001115
94,920.145,0.21149,0.15873,0.77102,0.01014,0.01316,0.00164,0.00025,3.13454,6.38469,3.50492,9.9125e-05,9.9125e-05,9.9125e-05
95,928.793,0.19955,0.15505,0.77376,0.01034,0.01316,0.00179,0.00053,3.18018,6.36189,3.50093,8.675e-05,8.675e-05,8.675e-05
96,937.918,0.20036,0.15142,0.76554,0.01013,0.01316,0.00152,0.00034,3.18773,6.3488,3.48325,7.4375e-05,7.4375e-05,7.4375e-05
97,946.16,0.19373,0.15254,0.76025,0.00673,0.01316,0.00137,0.0003,3.21076,6.33581,3.49638,6.2e-05,6.2e-05,6.2e-05
98,954.811,0.18927,0.1474,0.76281,0.00634,0.01316,0.00134,0.00021,3.23412,6.33794,3.50726,4.9625e-05,4.9625e-05,4.9625e-05
99,963.836,0.18532,0.14673,0.76943,0.00613,0.01316,0.00128,0.00013,3.24172,6.36947,3.5305,3.725e-05,3.725e-05,3.725e-05
100,972.825,0.18534,0.14431,0.77285,0.00689,0.01316,0.00135,0.00013,3.23929,6.3883,3.51715,2.4875e-05,2.4875e-05,2.4875e-05
